time,altitude,apoapsis,periapsis,speed,pitch,throttle,mass,dynamic_pressure
69.29,10152.74,17218.86,-596504.89,370.47,74.46725463867188,1.0,262408.34,18735.06
69.79,10334.74,17560.83,-596435.39,374.77,74.12420654296875,1.0,261566.67,18523.46
70.29,10526.08,17921.14,-596358.7,379.29,73.73553466796875,1.0,260691.33,18297.76
70.81,10712.04,18273.08,-596282.53,383.69,73.46688842773438,1.0,259849.67,18076.28
71.31,10907.54,18645.36,-596201.55,388.32,73.13107299804688,1.0,258974.34,17841.75
71.83,11105.19,19023.23,-596116.67,393.0,72.83853149414062,1.0,258099.0,17602.61
72.35,11297.28,19393.0,-596033.56,397.56,72.5235595703125,1.0,257257.33,17369.26
72.85,11499.2,19783.12,-595943.09,402.36,72.112060546875,1.0,256381.98,17122.28
73.37,11695.43,20163.74,-595852.1,407.03,71.87078857421875,1.0,255506.64,16871.39
73.89,11909.67,20583.12,-595753.35,412.14,71.556884765625,1.0,254631.31,16617.96
74.43,12126.33,21008.58,-595649.2,417.32,71.04513549804688,1.0,253722.31,16350.29
74.95,12329.11,21407.83,-595547.34,422.16,70.80612182617188,1.0,252880.64,16098.62
75.45,12534.0,21815.49,-595445.92,427.08,70.53765869140625,1.0,252038.97,15845.29
75.95,12749.35,22245.34,-595335.19,432.25,70.0191650390625,1.0,251163.62,15578.36
76.47,12967.01,22680.57,-595217.82,437.47,69.673095703125,1.0,250288.3,15307.92
76.99,13186.99,23124.48,-595098.99,442.78,69.47305297851562,1.0,249412.95,15035.84
77.51,13400.75,23559.26,-594982.74,447.94,69.01052856445312,1.0,248571.28,14772.3
78.01,13616.69,23998.05,-594857.9,453.15,68.52313232421875,1.0,247695.95,14494.29
78.53,13843.61,24462.01,-594724.16,458.64,68.37591552734375,1.0,246854.27,14224.74
79.03,14072.93,24936.91,-594591.37,464.22,68.00167846679688,1.0,245978.94,13943.39
79.55,14304.7,25416.3,-594448.72,469.85,67.36874389648438,1.0,245103.61,13658.82
80.07,14538.89,25901.86,-594298.77,475.54,67.1015625,1.0,244228.27,13372.29
80.59,14775.54,26398.77,-594149.14,481.32,66.8768310546875,1.0,243352.92,13085.93
81.11,15014.68,26903.33,-593993.8,487.17,66.2581787109375,1.0,242477.58,12798.56
81.63,15256.31,27411.93,-593826.99,493.06,65.8253173828125,1.0,241602.25,12509.54
82.15,15490.99,27911.01,-593664.87,498.81,65.67977905273438,1.0,240760.58,12232.29
82.65,15737.55,28440.71,-593494.57,504.88,65.1602783203125,1.0,239885.25,11944.52
83.17,15977.03,28953.2,-593318.28,510.75,64.56924438476562,1.0,239009.91,11655.56
83.71,16238.3,29515.34,-593121.44,517.16,64.42413330078125,1.0,238134.56,11355.75
84.23,16502.34,30092.41,-592926.34,523.69,63.965484619140625,1.0,237225.56,11042.96
84.75,16749.33,30629.46,-592731.54,529.76,63.22161865234375,1.0,236350.22,10742.61
85.27,17018.73,31215.48,-592510.15,536.39,63.061767578125,1.0,235474.89,10444.04
85.79,17280.81,31797.17,-592301.95,542.88,62.731109619140625,1.0,234599.55,10149.65
86.31,17535.3,32359.46,-592087.66,549.16,61.890777587890625,1.0,233757.88,9868.42
86.81,17802.51,32947.01,-591849.79,555.74,61.6859130859375,1.0,232882.55,9578.58
87.33,18061.92,33529.98,-591627.03,562.17,61.499359130859375,1.0,232040.88,9305.34
87.83,18323.81,34118.33,-591393.18,568.66,60.662353515625,1.0,231199.2,9035.6
88.33,18598.74,34730.22,-591130.79,575.43,60.263092041015625,1.0,230323.86,8758.53
88.85,18876.31,35358.94,-590870.35,582.31,60.16436767578125,1.0,229448.52,8487.77
89.37,19145.74,35974.36,-590615.08,589.0,59.412811279296875,1.0,228573.19,8222.41
89.89,19439.5,36636.82,-590315.69,596.24,58.8128662109375,1.0,227697.84,7961.08
90.41,19714.02,37262.94,-590034.96,603.03,58.72967529296875,1.0,226856.19,7715.57
90.91,20002.17,37929.75,-589742.38,610.19,58.13665771484375,1.0,225980.86,7466.14
91.43,20293.02,38594.7,-589426.72,617.37,57.35369873046875,1.0,225105.52,7220.65
91.95,20586.49,39268.13,-589100.45,624.61,57.13592529296875,1.0,224230.19,6980.05
92.47,20882.65,39959.5,-588774.43,631.96,56.77508544921875,1.0,223354.84,6744.57
92.99,21181.52,40654.35,-588430.96,639.35,55.91046142578125,1.0,222479.5,6512.09
93.51,21471.38,41323.69,-588081.77,646.49,55.536163330078125,1.0,221637.83,6291.15
94.01,21775.43,42038.17,-587718.1,654.02,55.344085693359375,1.0,220762.5,6066.01
94.53,22082.2,42763.11,-587344.02,661.63,54.530914306640625,1.0,219887.16,5845.17
95.05,22391.63,43484.52,-586943.47,669.25,53.92657470703125,1.0,219011.81,5628.16
95.57,22703.67,44221.72,-586537.48,676.97,53.78778076171875,1.0,218136.48,5416.84
96.09,23018.42,44975.82,-586126.89,684.79,53.079193115234375,1.0,217261.14,5211.39
96.61,23323.58,45695.38,-585703.89,692.32,52.2891845703125,1.0,216419.47,5018.37
97.11,23643.49,46453.17,-585250.71,700.22,52.071868896484375,1.0,215544.12,4823.66
97.63,23966.05,47232.94,-584796.63,708.24,51.67144775390625,1.0,214668.8,4635.82
98.15,24278.74,47983.74,-584337.82,715.98,50.739593505859375,1.0,213827.12,4460.67
98.65,24606.47,48762.22,-583834.07,724.06,50.342620849609375,1.0,212951.78,4284.23
99.17,24924.03,49533.94,-583349.41,731.96,50.17388916015625,1.0,212110.11,4121.25
99.67,25256.92,50346.93,-582830.64,740.24,49.25335693359375,1.0,211234.78,3957.76
100.19,25592.39,51150.29,-582276.45,748.52,48.609466552734375,1.0,210359.44,3799.43
100.71,25930.4,51974.14,-581715.8,756.91,48.33184814453125,1.0,209484.09,3640.5
101.23,26257.86,52778.97,-581163.58,765.07,47.733795166015625,1.0,208642.42,3487.93
101.73,26600.95,53615.21,-580561.75,773.58,46.978271484375,1.0,207767.11,3334.0
102.25,26933.22,54426.86,-579964.08,781.83,46.555419921875,1.0,206925.44,3190.24
102.75,27281.27,55287.12,-579329.89,790.51,45.94537353515625,1.0,206050.09,3045.01
103.27,27631.82,56147.08,-578666.73,799.23,45.40032958984375,1.0,205174.75,2904.29
103.79,27984.88,57024.41,-577990.17,808.04,44.8663330078125,1.0,204299.42,2768.78
104.31,28326.72,57871.41,-577314.7,816.57,44.054168701171875,1.0,203457.75,2643.19
104.81,28684.6,58750.59,-576581.27,825.47,43.698455810546875,1.0,202582.41,2517.54
105.33,29031.02,59625.01,-575872.45,834.17,43.254302978515625,1.0,201740.73,2402.25
105.83,29393.73,60529.72,-575100.44,843.24,42.18994140625,1.0,200865.39,2287.34
106.35,29744.7,61392.72,-574322.53,851.97,41.784027099609375,1.0,200023.73,2181.7
106.85,30112.0,62322.47,-573508.58,861.22,41.54913330078125,1.0,199148.39,2077.6
107.37,30481.74,63259.97,-572667.92,870.52,40.494171142578125,1.0,198273.06,1978.71
107.89,30853.76,64178.68,-571778.65,879.81,39.84381103515625,1.0,197397.72,1884.53
108.41,31228.03,65126.21,-570878.02,889.24,39.68292236328125,1.0,196522.39,1795.67
108.93,31604.65,66092.23,-569957.05,898.77,38.74432373046875,1.0,195647.05,1711.6
109.45,31983.5,67036.17,-568983.39,908.27,37.896697998046875,1.0,194771.7,1631.47
109.97,32364.49,67997.82,-567986.89,917.88,37.737213134765625,1.0,193896.36,1555.5
110.49,32732.93,68953.71,-567017.46,927.26,37.01812744140625,1.0,193054.7,1486.04
110.99,33118.27,69923.76,-565954.17,936.98,35.92120361328125,1.0,192179.36,1416.37
111.51,33505.62,70895.35,-564853.55,946.75,35.64886474609375,1.0,191304.03,1349.12
112.03,33880.03,71869.86,-563787.17,956.33,35.281036376953125,1.0,190462.36,1286.73
112.53,34271.53,72875.29,-562632.72,966.31,34.059478759765625,1.0,189587.02,1224.1
113.05,34649.78,73819.31,-561468.56,975.87,33.57562255859375,1.0,188745.34,1166.08
113.55,35045.06,74846.6,-560247.5,986.01,33.19830322265625,1.0,187870.0,1108.62
114.07,35442.33,75870.48,-558981.03,996.19,32.295501708984375,1.0,186994.67,1053.69
114.59,35841.47,76886.08,-557665.38,1006.39,31.651336669921875,1.0,186119.33,1001.27
115.11,36226.98,77884.24,-556372.1,1016.32,31.08587646484375,1.0,185277.66,953.44
115.61,36629.68,78920.88,-554981.19,1026.68,30.435333251953125,1.0,184402.33,906.18
116.13,37034.15,79969.64,-553551.06,1037.14,29.754638671875,1.0,183526.98,861.48
116.65,37424.7,80978.56,-552131.07,1047.24,28.9552001953125,1.0,182685.31,820.82
117.15,37832.47,82024.6,-550604.4,1057.78,28.29364013671875,1.0,181809.98,780.84
117.67,38226.06,83046.69,-549098.86,1068.02,27.89569091796875,1.0,180968.31,747.7
118.17,38636.99,84126.19,-547492.37,1078.78,27.02020263671875,1.0,180092.97,715.64
118.69,39033.54,85142.61,-545886.04,1089.09,26.167938232421875,1.0,179217.64,685.11
119.21,39447.32,86210.02,-544168.65,1099.91,25.90753173828125,1.0,178375.97,657.27
119.71,39862.58,87318.92,-542418.98,1110.91,25.1571044921875,1.0,177500.62,629.83
120.23,40279.26,88393.82,-540594.71,1121.85,24.0013427734375,1.0,176625.3,603.49
120.75,40697.13,89460.0,-538708.44,1132.82,23.612457275390625,1.0,175749.95,578.17
121.27,41116.24,90580.03,-536790.41,1144.02,23.2042236328125,1.0,174874.61,553.87
121.79,41536.66,91687.34,-534805.17,1155.23,21.932891845703125,1.0,173999.28,532.68
122.31,41958.11,92752.69,-532738.1,1166.35,21.349517822265625,1.0,173123.94,511.67
122.83,42380.56,93878.45,-530635.4,1177.73,21.1224365234375,1.0,172248.61,490.81
123.35,42804.15,95011.12,-528470.33,1189.19,19.90081787109375,1.0,171373.27,470.42
123.87,43212.29,96044.8,-526301.05,1200.08,19.127777099609375,1.0,170531.59,451.18
124.37,43637.49,97164.57,-523996.54,1211.6,19.0018310546875,1.0,169656.27,431.85
124.89,44063.62,98324.52,-521638.52,1223.31,18.0078125,1.0,168780.92,413.17
125.41,44490.52,99420.33,-519181.93,1234.87,16.911712646484375,1.0,167905.59,394.95
125.93,44917.94,100528.36,-516655.9,1246.53,16.785552978515625,1.0,167030.25,377.38
125.95,44917.94,100528.36,-516655.9,1246.53,16.785552978515625,1.0,167030.25,377.38
126.05,45000.19,100660.57,-516361.37,1247.67,16.742645263671875,0.0,166929.25,373.41
126.15,45098.83,100658.5,-516361.03,1247.0,16.707977294921875,0.0,166929.25,367.5
126.27,45197.37,100656.44,-516360.72,1246.32,16.681182861328125,0.0,166929.25,361.67
126.39,45279.41,100654.76,-516360.46,1245.76,16.652587890625,0.0,166929.25,355.94
126.51,45394.15,100652.44,-516360.1,1244.97,16.630462646484375,0.0,166929.25,350.3
126.63,45476.04,100650.81,-516359.85,1244.41,16.613128662109375,0.0,166929.25,345.67
126.73,45574.21,100648.88,-516359.56,1243.74,16.5960693359375,0.0,166929.25,340.2
126.85,45672.28,100646.98,-516359.28,1243.07,16.5821533203125,0.0,166929.25,334.81
126.97,45770.26,100645.12,-516359.0,1242.4,16.571502685546875,0.0,166929.25,329.52
